supergroup	group	n_genomes	n_sampled	median_length	min_length	max_length	median_gc	median_n_cds	common_transl_table	frac_cox1	frac_cox2	frac_cox3	frac_cob	frac_atp6	frac_atp8	frac_atp9	frac_atp1	frac_nad1	frac_nad2	frac_nad3	frac_nad4	frac_nad4L	frac_nad5	frac_nad6	frac_nad7	frac_nad8	frac_nad9	frac_nad11	frac_sdh2	frac_sdh3	frac_sdh4	frac_tufA	frac_rpoB	frac_rpoC	frac_secY	frac_rps3	frac_rps12	frac_rpl2	frac_rpl5	frac_rpl16	frac_rpl14	frac_rps19	frac_rps7	frac_rps11	frac_rpl6
Opisthokonta	Metazoa	15809	244	16488	8118	93065	0.370	13	2	0.999	0.999	0.999	0.999	0.999	0.965	0.004	0.000	1.000	0.999	0.999	0.999	0.999	0.999	0.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Opisthokonta	Fungi	732	92	55822	12055	332165	0.270	18	4	0.977	0.982	0.988	0.992	0.988	0.941	0.903	0.001	0.926	0.922	0.925	0.921	0.922	0.923	0.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000
Archaeplastida	Streptophyta	528	46	379236	42424	2290019	0.450	38	1	0.983	0.962	0.989	0.979	0.973	0.958	0.985	0.972	0.930	0.958	0.979	0.973	0.975	0.962	0.992	0.886	0.000	0.983	0.000	0.000	0.502	0.712	0.002	0.008	0.002	0.000	0.915	0.924	0.534	0.845	0.759	0.023	0.455	0.642	0.275	0.197
SAR	Stramenopiles	240	60	37957	27717	77356	0.301	38	1	0.975	0.979	0.979	0.979	0.975	0.946	0.967	0.338	1.000	0.988	0.996	1.000	0.988	1.000	0.983	1.000	0.000	0.996	0.925	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0.988	0.992	0.996	0.963	0.988	0.996	0.979	0.958	0.963	0.992
Archaeplastida	Rhodophyta	176	43	25775	5150	102701	0.287	24	4	0.983	0.983	0.989	0.989	0.994	0.949	0.994	0.000	0.983	0.983	0.994	0.983	0.972	0.983	0.983	0.000	0.000	0.000	0.000	0.909	0.949	0.938	0.000	0.000	0.000	0.273	0.955	0.909	0.000	0.034	0.909	0.023	0.011	0.000	0.909	0.023
Archaeplastida	Chlorophyta	95	48	52528	12998	241739	0.360	31	1	0.926	0.705	0.821	1.000	0.811	0.589	0.811	0.589	0.989	1.000	0.832	1.000	0.811	1.000	0.979	0.653	0.000	0.421	0.000	0.000	0.011	0.011	0.000	0.000	0.000	0.011	0.547	0.642	0.011	0.611	0.632	0.432	0.600	0.368	0.579	0.263
SAR	Alveolata	71	18	6223	5800	95104	0.313	3	4	0.930	0.254	0.676	0.930	0.000	0.000	0.239	0.000	0.169	0.183	0.225	0.254	0.141	0.254	0.141	0.254	0.000	0.239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.254	0.239	0.000	0.211	0.254	0.211	0.070	0.000	0.155
Amoebozoa	Amoebozoa	12	11	53464	41591	62862	0.260	42	1	0.417	0.333	0.917	0.833	0.917	0.667	0.833	0.750	0.917	0.917	0.917	0.917	0.833	0.833	0.833	0.917	0.000	0.917	0.750	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.833	0.917	0.833	0.500	0.917	0.917	0.833	0.833	0.750	0.833
Cryptista	Cryptophyta	11	11	46700	35013	67380	0.298	44	1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	1.000	0.909	1.000	0.909	1.000	1.000	0.000	0.818	0.727	0.000	0.000	0.000	0.000	1.000	1.000	0.091	1.000	1.000	1.000	1.000	0.909	1.000	1.000
Discoba	Discoba	8	7	49843	20992	75717	0.272	46	1	0.875	0.875	0.875	0.875	0.875	0.750	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.750	0.875	0.750	0.875	0.500	0.125	0.125	0.125	0.000	0.000	0.000	0.625	0.750	0.750	0.875	0.750	0.875	0.750	0.750	0.625	0.875
