accession	organism	taxid	group	supergroup	stratum	length	gc	n_cds	n_trna	n_rrna	transl_table	n_markers	markers
NC_035508.1	Apiospora arundinis	335852	Fungi	Opisthokonta	Fungi	48975	0.2936	20	23	2	4	13	atp6,atp8,atp9,cob,cox1,cox2,nad1,nad2,nad3,nad4,nad4L,nad5,rps3
NC_068219.1	Amoeboaphelidium protococcarum	1243177	Fungi	Opisthokonta	Fungi	30437	0.2255	21	4	3	1	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_035825.1	Opegrapha vulgata	543791	Fungi	Opisthokonta	Fungi	38937	0.308	19	18	2	4	14	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_086750.1	Elmerina hispida	1245649	Fungi	Opisthokonta	Fungi	265604	0.3647	79	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_011360.1	Blastocladiella emersonii	4808	Fungi	Opisthokonta	Fungi	36503	0.3509	17	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_077612.1	Phyllosticta yuccae	1151444	Fungi	Opisthokonta	Fungi	178540	0.3113	36	26	2	4	14	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_021436.1	Rhizoctonia solani	456999	Fungi	Opisthokonta	Fungi	235849	0.3591	127	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4L,nad5,nad6,rps3
NC_030600.1	Cladophialophora bantiana	89940	Fungi	Opisthokonta	Fungi	26821	0.2453	16	22	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_042880.1	Chytriomyces confervae	246404	Fungi	Opisthokonta	Fungi	225604	0.4226	18	7	2	16	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058213.1	Magnusiomyces suaveolens	44074	Fungi	Opisthokonta	Fungi	49739	0.3644	34	25	2	3	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_016116.1	Yarrowia galli	197054	Fungi	Opisthokonta	Fungi	48508	0.2277	24	27	2	3	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_022155.1	Diddensiella santjacobensis	2704139	Fungi	Opisthokonta	Fungi	64525	0.2555	17	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_016684.1	Gigaspora margarita	4874	Fungi	Opisthokonta	Fungi	96998	0.4502	19	22	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_016985.1	Gigaspora rosea	44941	Fungi	Opisthokonta	Fungi	97350	0.4484	22	25	3	1	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040967.1	Capillidium heterosporum	1167838	Fungi	Opisthokonta	Fungi	53364	0.2906	37	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_064684.1	Capillidium rhysosporum	181046	Fungi	Opisthokonta	Fungi	46756	0.2938	16	26	2	4	15	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6,rps3
NC_058636.1	Conidiobolus chlamydosporus	1167813	Fungi	Opisthokonta	Fungi	29253	0.2661	14	24	2	4	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058637.1	Conidiobolus lichenicola	1167816	Fungi	Opisthokonta	Fungi	42713	0.2732	22	23	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058638.1	Conidiobolus mycophagus	1368622	Fungi	Opisthokonta	Fungi	32218	0.2787	19	23	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058639.1	Conidiobolus polyspermus	2074866	Fungi	Opisthokonta	Fungi	32900	0.2791	17	23	2	4	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058640.1	Conidiobolus polytocus	1167814	Fungi	Opisthokonta	Fungi	43599	0.2673	15	23	2	4	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058641.1	Conidiobolus taihushanensis	2721185	Fungi	Opisthokonta	Fungi	48417	0.2704	22	24	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_022144.1	Glomus cerebriforme	658196	Fungi	Opisthokonta	Fungi	59633	0.4674	20	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
